time,open,high,low,close,tick_volume,spread,real_volume
1615278600,1.18602,1.1862300000000001,1.18582,1.18591,636,1,0
1615279500,1.18592,1.18595,1.18544,1.18576,793,1,0
1615280400,1.18577,1.18629,1.18512,1.18627,1393,1,0
1615281300,1.18627,1.1872,1.18622,1.18714,1273,1,0
1615282200,1.18714,1.18772,1.18705,1.18742,1389,1,0
1615283100,1.18742,1.18883,1.18722,1.1880600000000001,1500,1,0
1615284000,1.18809,1.18818,1.18764,1.18804,1491,1,0
1615284900,1.18804,1.18846,1.18776,1.1880600000000001,1287,1,0
1615285800,1.1880600000000001,1.18899,1.188,1.18841,1370,1,0
1615286700,1.18841,1.18985,1.1883,1.1896,1455,1,0
1615287600,1.1896,1.1903299999999999,1.18919,1.19018,1296,1,0
1615288500,1.19018,1.19022,1.1895,1.18965,1273,1,0
1615289400,1.18965,1.1902,1.18958,1.19003,951,1,0
1615290300,1.19002,1.19089,1.18976,1.19053,1118,1,0
1615291200,1.19054,1.19098,1.19036,1.19052,1007,1,0
1615292100,1.19053,1.19055,1.18997,1.19021,948,1,0
1615293000,1.19021,1.19048,1.18996,1.18997,1009,1,0
1615293900,1.18997,1.19061,1.18975,1.19007,1138,1,0
1615294800,1.19008,1.19089,1.19002,1.19074,1092,1,0
1615295700,1.19072,1.19146,1.19052,1.19139,1117,1,0
1615296600,1.19139,1.19157,1.19056,1.19068,902,1,0
1615297500,1.19068,1.19102,1.19024,1.19041,1008,1,0
1615298400,1.19039,1.19045,1.18979,1.18996,1083,1,0
1615299300,1.18995,1.19021,1.18965,1.18984,1182,1,0
1615300200,1.18984,1.18985,1.18915,1.18926,1074,1,0
1615301100,1.18926,1.18936,1.18868,1.18875,1063,1,0
1615302000,1.1887699999999999,1.18964,1.18876,1.18939,1309,1,0
1615302900,1.18941,1.18944,1.18823,1.18845,1489,1,0
1615303800,1.18846,1.18908,1.18844,1.18884,1330,1,0
1615304700,1.18884,1.18977,1.18882,1.18918,1192,1,0
1615305600,1.18919,1.1896,1.18883,1.18934,1559,1,0
1615306500,1.18933,1.19012,1.18832,1.19011,1368,1,0
1615307400,1.19007,1.19076,1.18961,1.18969,2384,1,0
1615308300,1.18969,1.19027,1.18924,1.19017,2104,1,0
1615309200,1.19017,1.19091,1.19015,1.19064,2241,1,0
1615310100,1.19066,1.19071,1.18969,1.1898,1612,1,0
1615311000,1.18979,1.18994,1.18939,1.18964,1394,1,0
1615311900,1.18964,1.1897,1.1882,1.18858,1908,1,0
1615312800,1.18858,1.1891,1.18815,1.18864,1306,1,0
1615313700,1.18864,1.18923,1.1885,1.1888,1090,1,0
1615314600,1.1888,1.18933,1.18851,1.1890100000000001,1191,1,0
1615315500,1.1890100000000001,1.18909,1.18849,1.18852,1081,1,0
1615316400,1.18852,1.18893,1.18848,1.18892,767,1,0
1615317300,1.18892,1.18913,1.18834,1.1885,1066,1,0
1615318200,1.18853,1.18878,1.18839,1.18871,791,1,0
1615319100,1.18871,1.18898,1.18854,1.18864,894,1,0
1615320000,1.18863,1.18956,1.18848,1.1893,1553,1,0
1615320900,1.18929,1.18943,1.18883,1.18894,1109,1,0
